Latitude,Longitude,Number,Street,City,State,Zip,Base Elevation,Height
40.012845,-75.189036,3448,Ainslie St,Philadelphia,PA,19129,168.2,30
40.012901,-75.188366,3425,Sunnyside Ave,Philadelphia,PA,19129,158.5,20
40.012873,-75.188995,3446,Ainslie St,Philadelphia,PA,19129,169,30
40.012929,-75.18832,3423,Sunnyside Ave,Philadelphia,PA,19129,158.9,20
40.012957,-75.188281,3421,Sunnyside Ave,Philadelphia,PA,19129,159.6,20
40.009618,-75.195266,4245,Ridge Ave,Philadelphia,PA,19129,35.6,30
40.009814,-75.195633,4255,Ridge Ave,Philadelphia,PA,19129,36.5,40
40.00972,-75.195198,3731,Stanton St,Philadelphia,PA,19129,43.4,20
40.009735,-75.195481,4251,Ridge Ave,Philadelphia,PA,19129,36,40
40.009661,-75.195414,4249,Ridge Ave,Philadelphia,PA,19129,35.7,30
40.009849,-75.195264,3727,Stanton St,Philadelphia,PA,19129,50.4,30
40.009882,-75.195241,3725,Stanton St,Philadelphia,PA,19129,52.4,30
40.009915,-75.195221,3723,Stanton St,Philadelphia,PA,19129,54,30
40.009946,-75.195198,3721,Stanton St,Philadelphia,PA,19129,56,30
40.009979,-75.195177,3719,Stanton St,Philadelphia,PA,19129,57.7,30
40.011717,-75.194351,3634,Calumet St,Philadelphia,PA,19129,123.4,20
40.011753,-75.194327,3632,Calumet St,Philadelphia,PA,19129,124,20
40.011681,-75.194375,3636,Calumet St,Philadelphia,PA,19129,122,20
40.011572,-75.194449,3642,Calumet St,Philadelphia,PA,19129,118.3,20
40.009783,-75.195552,4253,Ridge Ave,Philadelphia,PA,19129,36.3,40
40.010647,-75.195073,3692,Calumet St,Philadelphia,PA,19129,87.9,30
40.010797,-75.19497,3684,Calumet St,Philadelphia,PA,19129,94,30
40.010955,-75.194866,3676,Calumet St,Philadelphia,PA,19129,99.7,20
40.010991,-75.194839,3674,Calumet St,Philadelphia,PA,19129,101.7,20
40.010564,-75.195146,3696,Calumet St,Philadelphia,PA,19129,84.1,30
40.010911,-75.194556,3671,Stanton St,Philadelphia,PA,19129,101.1,30
40.010237,-75.195005,3707,Stanton St,Philadelphia,PA,19129,77.2,10
40.010605,-75.195104,3694,Calumet St,Philadelphia,PA,19129,85.7,30
40.010756,-75.194999,3686,Calumet St,Philadelphia,PA,19129,92.4,30
40.010719,-75.195023,3688,Calumet St,Philadelphia,PA,19129,90.5,30
40.010841,-75.194942,3682,Calumet St,Philadelphia,PA,19129,95.6,30
40.010918,-75.194889,3678,Calumet St,Philadelphia,PA,19129,98.4,20
40.010881,-75.194914,3680,Calumet St,Philadelphia,PA,19129,96.8,20
40.010261,-75.195332,3712,Calumet St,Philadelphia,PA,19129,70.6,30
40.009955,-75.195538,3728,Calumet St,Philadelphia,PA,19129,43.1,40
40.010332,-75.195281,3708,Calumet St,Philadelphia,PA,19129,74.9,30
40.010411,-75.195228,3704,Calumet St,Philadelphia,PA,19129,78.2,30
40.010525,-75.195166,3698,Calumet St,Philadelphia,PA,19129,82.7,30
40.010451,-75.1952,3702,Calumet St,Philadelphia,PA,19129,79.4,30
40.010294,-75.19531,3710,Calumet St,Philadelphia,PA,19129,72,20
39.986956,-75.156799,2227,N Carlisle St,Philadelphia,PA,19132,89,20
39.987403,-75.15652,2240-48,N Broad St,Philadelphia,PA,19132,82.2,50
39.986522,-75.155088,2210,N Park Ave,Philadelphia,PA,19132,82.4,20
39.986919,-75.156808,2225,N Carlisle St,Philadelphia,PA,19132,89,20
39.986843,-75.156825,2221,N Carlisle St,Philadelphia,PA,19132,89.3,20
39.986881,-75.156816,2223,N Carlisle St,Philadelphia,PA,19132,89.3,20
39.986727,-75.156552,2216,N Broad St,Philadelphia,PA,19132,89.4,10
39.986576,-75.156596,2200,N Broad St,Philadelphia,PA,19132,89.9,30
39.986816,-75.156502,2220,N Broad St,Philadelphia,PA,19132,90.5,40
39.986861,-75.15649,2222,N Broad St,Philadelphia,PA,19132,90.3,40
39.98674,-75.155042,2216-22,N Park Ave,Philadelphia,PA,19132,81.7,40
39.986994,-75.156791,2229,N Carlisle St,Philadelphia,PA,19132,88.7,20
39.987117,-75.15496,2240,N Park Ave,Philadelphia,PA,19132,81.2,40
39.987161,-75.15495,2242,N Park Ave,Philadelphia,PA,19132,80.9,30
39.987074,-75.154969,2238,N Park Ave,Philadelphia,PA,19132,81.2,30
39.986906,-75.156482,2224,N Broad St,Philadelphia,PA,19132,89.9,40
39.987204,-75.15494,2244,N Park Ave,Philadelphia,PA,19132,80.7,30
39.986902,-75.158936,2209,N Mole St,Philadelphia,PA,19132,83.7,20
39.987373,-75.158671,2234,N Sydenham St,Philadelphia,PA,19132,83.8,20
